seed,leg,stratum,method,query_id,family,true_label,pred_label,hit@1,hit@5,hit@10
201,HDFS_family_common,common,Dense RAG,blk_2921131800553640617,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,SMA,blk_-1551128657600847064,other_anomaly,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-1551128657600847064,other_anomaly,,,,0.4,
201,HDFS_family_common,common,Dense RAG,blk_-1551128657600847064,other_anomaly,,,,0.2,
201,HDFS_family_common,common,SMA,blk_-6783196833109059491,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-6783196833109059491,DeleteBlockNotFound,,,,0.6,
201,HDFS_family_common,common,Dense RAG,blk_-6783196833109059491,DeleteBlockNotFound,,,,0.2,
201,HDFS_family_common,common,SMA,blk_8782703022625382051,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_8782703022625382051,DeleteBlockNotFound,,,,0.8,
201,HDFS_family_common,common,Dense RAG,blk_8782703022625382051,DeleteBlockNotFound,,,,0.4,
201,HDFS_family_common,common,SMA,blk_5487818474932714925,other_anomaly,,,,1.0,
201,HDFS_family_common,common,BM25,blk_5487818474932714925,other_anomaly,,,,0.8,
201,HDFS_family_common,common,Dense RAG,blk_5487818474932714925,other_anomaly,,,,0.4,
201,HDFS_family_common,common,SMA,blk_-4916217260952140077,other_anomaly,,,,0.0,
201,HDFS_family_common,common,BM25,blk_-4916217260952140077,other_anomaly,,,,0.0,
201,HDFS_family_common,common,Dense RAG,blk_-4916217260952140077,other_anomaly,,,,1.0,
201,HDFS_family_common,common,SMA,blk_-3078917555846742195,other_anomaly,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-3078917555846742195,other_anomaly,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_-3078917555846742195,other_anomaly,,,,0.0,
201,HDFS_family_common,common,SMA,blk_6586560612275446195,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_6586560612275446195,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_6586560612275446195,DeleteBlockNotFound,,,,0.2,
201,HDFS_family_common,common,SMA,blk_-8867499036909476385,ServeBlockException,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-8867499036909476385,ServeBlockException,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_-8867499036909476385,ServeBlockException,,,,0.0,
201,HDFS_family_common,common,SMA,blk_-2071456919707338634,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-2071456919707338634,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_-2071456919707338634,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,SMA,blk_6079191805210049465,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_6079191805210049465,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_6079191805210049465,DeleteBlockNotFound,,,,0.4,
201,HDFS_family_common,common,SMA,blk_2971424374066128659,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,BM25,blk_2971424374066128659,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_2971424374066128659,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,SMA,blk_8628742091277941522,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_8628742091277941522,DeleteBlockNotFound,,,,0.2,
201,HDFS_family_common,common,Dense RAG,blk_8628742091277941522,DeleteBlockNotFound,,,,0.0,
201,HDFS_family_common,common,SMA,blk_8213042711434594409,DeleteBlockNotFound,,,,0.8,
201,HDFS_family_common,common,BM25,blk_8213042711434594409,DeleteBlockNotFound,,,,0.4,
201,HDFS_family_common,common,Dense RAG,blk_8213042711434594409,DeleteBlockNotFound,,,,0.2,
201,HDFS_family_common,common,SMA,blk_-8411101423864386523,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-8411101423864386523,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_-8411101423864386523,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,SMA,blk_6582991663673814841,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_6582991663673814841,DeleteBlockNotFound,,,,0.8,
201,HDFS_family_common,common,Dense RAG,blk_6582991663673814841,DeleteBlockNotFound,,,,0.6,
201,HDFS_family_common,common,SMA,blk_4475957310420284226,ServeBlockException,,,,0.8,
201,HDFS_family_common,common,BM25,blk_4475957310420284226,ServeBlockException,,,,0.8,
201,HDFS_family_common,common,Dense RAG,blk_4475957310420284226,ServeBlockException,,,,0.2,
201,HDFS_family_common,common,SMA,blk_8412416217840344359,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_8412416217840344359,DeleteBlockNotFound,,,,0.6,
201,HDFS_family_common,common,Dense RAG,blk_8412416217840344359,DeleteBlockNotFound,,,,0.4,
201,HDFS_family_common,common,SMA,blk_6392912066749206485,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_6392912066749206485,DeleteBlockNotFound,,,,0.6,
201,HDFS_family_common,common,Dense RAG,blk_6392912066749206485,DeleteBlockNotFound,,,,0.6,
201,HDFS_family_common,common,SMA,blk_-7383291829441955619,ServeBlockException,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-7383291829441955619,ServeBlockException,,,,0.8,
201,HDFS_family_common,common,Dense RAG,blk_-7383291829441955619,ServeBlockException,,,,0.0,
201,HDFS_family_common,common,SMA,blk_8319323512423029353,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_8319323512423029353,DeleteBlockNotFound,,,,0.2,
201,HDFS_family_common,common,Dense RAG,blk_8319323512423029353,DeleteBlockNotFound,,,,0.2,
201,HDFS_family_common,common,SMA,blk_-4109412806964140904,other_anomaly,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-4109412806964140904,other_anomaly,,,,0.8,
201,HDFS_family_common,common,Dense RAG,blk_-4109412806964140904,other_anomaly,,,,0.4,
201,HDFS_family_common,common,SMA,blk_-1950814260159934342,ServeBlockException,,,,0.8,
201,HDFS_family_common,common,BM25,blk_-1950814260159934342,ServeBlockException,,,,0.2,
201,HDFS_family_common,common,Dense RAG,blk_-1950814260159934342,ServeBlockException,,,,0.6,
201,HDFS_family_common,common,SMA,blk_-3596001398485130265,other_anomaly,,,,0.0,
201,HDFS_family_common,common,BM25,blk_-3596001398485130265,other_anomaly,,,,0.0,
201,HDFS_family_common,common,Dense RAG,blk_-3596001398485130265,other_anomaly,,,,1.0,
201,HDFS_family_common,common,SMA,blk_4340786723520613270,other_anomaly,,,,1.0,
201,HDFS_family_common,common,BM25,blk_4340786723520613270,other_anomaly,,,,0.2,
201,HDFS_family_common,common,Dense RAG,blk_4340786723520613270,other_anomaly,,,,0.0,
201,HDFS_family_common,common,SMA,blk_-9223155031018917603,other_anomaly,,,,0.0,
201,HDFS_family_common,common,BM25,blk_-9223155031018917603,other_anomaly,,,,0.4,
201,HDFS_family_common,common,Dense RAG,blk_-9223155031018917603,other_anomaly,,,,1.0,
201,HDFS_family_common,common,SMA,blk_3497236094583490618,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_3497236094583490618,DeleteBlockNotFound,,,,0.8,
201,HDFS_family_common,common,Dense RAG,blk_3497236094583490618,DeleteBlockNotFound,,,,0.4,
201,HDFS_family_common,common,SMA,blk_6573618862488853481,DeleteBlockNotFound,,,,0.8,
201,HDFS_family_common,common,BM25,blk_6573618862488853481,DeleteBlockNotFound,,,,0.6,
201,HDFS_family_common,common,Dense RAG,blk_6573618862488853481,DeleteBlockNotFound,,,,0.0,
201,HDFS_family_common,common,SMA,blk_-1774809912694966596,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-1774809912694966596,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_-1774809912694966596,StreamReadFailure,,,,0.8,
201,HDFS_family_common,common,SMA,blk_1287185562012837393,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,BM25,blk_1287185562012837393,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_1287185562012837393,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,SMA,blk_-6022305189056324934,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-6022305189056324934,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_-6022305189056324934,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,SMA,blk_7009186467700647318,DeleteBlockNotFound,,,,0.0,
201,HDFS_family_common,common,BM25,blk_7009186467700647318,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_7009186467700647318,DeleteBlockNotFound,,,,0.4,
201,HDFS_family_common,common,SMA,blk_6323758474610216359,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_6323758474610216359,DeleteBlockNotFound,,,,0.4,
201,HDFS_family_common,common,Dense RAG,blk_6323758474610216359,DeleteBlockNotFound,,,,0.2,
201,HDFS_family_common,common,SMA,blk_-6357169463754351183,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-6357169463754351183,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_-6357169463754351183,StreamReadFailure,,,,0.4,
201,HDFS_family_common,common,SMA,blk_-8988341760983259650,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-8988341760983259650,DeleteBlockNotFound,,,,0.6,
201,HDFS_family_common,common,Dense RAG,blk_-8988341760983259650,DeleteBlockNotFound,,,,0.2,
201,HDFS_family_common,common,SMA,blk_6134563267901180992,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_6134563267901180992,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_6134563267901180992,DeleteBlockNotFound,,,,0.2,
201,HDFS_family_common,common,SMA,blk_-8096408932402465238,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-8096408932402465238,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_-8096408932402465238,StreamReadFailure,,,,0.4,
201,HDFS_family_common,common,SMA,blk_-8048157309109695056,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-8048157309109695056,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_-8048157309109695056,StreamReadFailure,,,,0.6,
201,HDFS_family_common,common,SMA,blk_4021941097970058929,other_anomaly,,,,0.6,
201,HDFS_family_common,common,BM25,blk_4021941097970058929,other_anomaly,,,,0.4,
201,HDFS_family_common,common,Dense RAG,blk_4021941097970058929,other_anomaly,,,,0.2,
201,HDFS_family_common,common,SMA,blk_655145032406120177,other_anomaly,,,,0.4,
201,HDFS_family_common,common,BM25,blk_655145032406120177,other_anomaly,,,,0.4,
201,HDFS_family_common,common,Dense RAG,blk_655145032406120177,other_anomaly,,,,1.0,
201,HDFS_family_common,common,SMA,blk_-4773260169063187725,other_anomaly,,,,0.0,
201,HDFS_family_common,common,BM25,blk_-4773260169063187725,other_anomaly,,,,0.4,
201,HDFS_family_common,common,Dense RAG,blk_-4773260169063187725,other_anomaly,,,,1.0,
201,HDFS_family_common,common,SMA,blk_7180263358016729488,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_7180263358016729488,DeleteBlockNotFound,,,,0.8,
201,HDFS_family_common,common,Dense RAG,blk_7180263358016729488,DeleteBlockNotFound,,,,0.4,
201,HDFS_family_common,common,SMA,blk_1274024811406693102,other_anomaly,,,,0.0,
201,HDFS_family_common,common,BM25,blk_1274024811406693102,other_anomaly,,,,0.2,
201,HDFS_family_common,common,Dense RAG,blk_1274024811406693102,other_anomaly,,,,0.4,
201,HDFS_family_common,common,SMA,blk_1245057788989654593,other_anomaly,,,,1.0,
201,HDFS_family_common,common,BM25,blk_1245057788989654593,other_anomaly,,,,0.6,
201,HDFS_family_common,common,Dense RAG,blk_1245057788989654593,other_anomaly,,,,0.2,
201,HDFS_family_common,common,SMA,blk_9018257599476340135,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_9018257599476340135,DeleteBlockNotFound,,,,0.6,
201,HDFS_family_common,common,Dense RAG,blk_9018257599476340135,DeleteBlockNotFound,,,,0.4,
201,HDFS_family_common,common,SMA,blk_9030599393820114361,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_9030599393820114361,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_9030599393820114361,DeleteBlockNotFound,,,,0.8,
201,HDFS_family_common,common,SMA,blk_8739761680416453069,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_8739761680416453069,DeleteBlockNotFound,,,,0.6,
201,HDFS_family_common,common,Dense RAG,blk_8739761680416453069,DeleteBlockNotFound,,,,0.4,
201,HDFS_family_common,common,SMA,blk_-6825723750811143901,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-6825723750811143901,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_-6825723750811143901,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,SMA,blk_-2663460766910441202,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-2663460766910441202,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_-2663460766910441202,StreamReadFailure,,,,0.6,
201,HDFS_family_common,common,SMA,blk_1534711552298687467,ServeBlockException,,,,1.0,
201,HDFS_family_common,common,BM25,blk_1534711552298687467,ServeBlockException,,,,0.8,
201,HDFS_family_common,common,Dense RAG,blk_1534711552298687467,ServeBlockException,,,,0.4,
201,HDFS_family_common,common,SMA,blk_-4992142489380275774,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-4992142489380275774,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_-4992142489380275774,StreamReadFailure,,,,0.8,
201,HDFS_family_common,common,SMA,blk_6151327348800741131,ServeBlockException,,,,0.0,
201,HDFS_family_common,common,BM25,blk_6151327348800741131,ServeBlockException,,,,0.2,
201,HDFS_family_common,common,Dense RAG,blk_6151327348800741131,ServeBlockException,,,,0.0,
201,HDFS_family_common,common,SMA,blk_6147036702298138379,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_6147036702298138379,DeleteBlockNotFound,,,,0.6,
201,HDFS_family_common,common,Dense RAG,blk_6147036702298138379,DeleteBlockNotFound,,,,0.4,
201,HDFS_family_common,common,SMA,blk_929794009401517647,other_anomaly,,,,0.4,
201,HDFS_family_common,common,BM25,blk_929794009401517647,other_anomaly,,,,0.0,
201,HDFS_family_common,common,Dense RAG,blk_929794009401517647,other_anomaly,,,,1.0,
201,HDFS_family_common,common,SMA,blk_7895004802669466168,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_7895004802669466168,DeleteBlockNotFound,,,,0.4,
201,HDFS_family_common,common,Dense RAG,blk_7895004802669466168,DeleteBlockNotFound,,,,0.0,
201,HDFS_family_common,common,SMA,blk_7407972537904563857,other_anomaly,,,,1.0,
201,HDFS_family_common,common,BM25,blk_7407972537904563857,other_anomaly,,,,0.4,
201,HDFS_family_common,common,Dense RAG,blk_7407972537904563857,other_anomaly,,,,0.0,
201,HDFS_family_common,common,SMA,blk_1058858579423870941,other_anomaly,,,,0.4,
201,HDFS_family_common,common,BM25,blk_1058858579423870941,other_anomaly,,,,0.2,
201,HDFS_family_common,common,Dense RAG,blk_1058858579423870941,other_anomaly,,,,1.0,
201,HDFS_family_common,common,SMA,blk_-9008878437609805732,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-9008878437609805732,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_-9008878437609805732,StreamReadFailure,,,,0.6,
201,HDFS_family_common,common,SMA,blk_-3690161308923454682,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-3690161308923454682,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_-3690161308923454682,StreamReadFailure,,,,0.0,
201,HDFS_family_common,common,SMA,blk_8878793526484799983,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_8878793526484799983,DeleteBlockNotFound,,,,0.2,
201,HDFS_family_common,common,Dense RAG,blk_8878793526484799983,DeleteBlockNotFound,,,,0.4,
201,HDFS_family_common,common,SMA,blk_2513490816611811010,other_anomaly,,,,0.4,
201,HDFS_family_common,common,BM25,blk_2513490816611811010,other_anomaly,,,,0.2,
201,HDFS_family_common,common,Dense RAG,blk_2513490816611811010,other_anomaly,,,,1.0,
201,HDFS_family_common,common,SMA,blk_2205807662335709132,other_anomaly,,,,0.0,
201,HDFS_family_common,common,BM25,blk_2205807662335709132,other_anomaly,,,,0.6,
201,HDFS_family_common,common,Dense RAG,blk_2205807662335709132,other_anomaly,,,,1.0,
201,HDFS_family_rare,rare,SMA,blk_-5055717820504483017,RedundantAddStoredBlock,,,,0.8,
201,HDFS_family_rare,rare,BM25,blk_-5055717820504483017,RedundantAddStoredBlock,,,,0.0,
201,HDFS_family_rare,rare,Dense RAG,blk_-5055717820504483017,RedundantAddStoredBlock,,,,0.0,
201,HDFS_family_common,common,SMA,blk_7997626470789819216,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_7997626470789819216,DeleteBlockNotFound,,,,0.4,
201,HDFS_family_common,common,Dense RAG,blk_7997626470789819216,DeleteBlockNotFound,,,,0.6,
201,HDFS_family_common,common,SMA,blk_6791318767401594848,other_anomaly,,,,0.0,
201,HDFS_family_common,common,BM25,blk_6791318767401594848,other_anomaly,,,,0.6,
201,HDFS_family_common,common,Dense RAG,blk_6791318767401594848,other_anomaly,,,,1.0,
201,HDFS_family_common,common,SMA,blk_-1930818780576388792,other_anomaly,,,,0.4,
201,HDFS_family_common,common,BM25,blk_-1930818780576388792,other_anomaly,,,,0.2,
201,HDFS_family_common,common,Dense RAG,blk_-1930818780576388792,other_anomaly,,,,1.0,
201,HDFS_family_common,common,SMA,blk_4649052150450768263,ServeBlockException,,,,1.0,
201,HDFS_family_common,common,BM25,blk_4649052150450768263,ServeBlockException,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_4649052150450768263,ServeBlockException,,,,0.0,
201,HDFS_family_common,common,SMA,blk_7060434397663334881,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_7060434397663334881,DeleteBlockNotFound,,,,0.2,
201,HDFS_family_common,common,Dense RAG,blk_7060434397663334881,DeleteBlockNotFound,,,,0.2,
201,HDFS_family_common,common,SMA,blk_4455585171122333616,other_anomaly,,,,0.0,
201,HDFS_family_common,common,BM25,blk_4455585171122333616,other_anomaly,,,,0.6,
201,HDFS_family_common,common,Dense RAG,blk_4455585171122333616,other_anomaly,,,,1.0,
201,HDFS_family_common,common,SMA,blk_8052431154505374433,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_8052431154505374433,DeleteBlockNotFound,,,,0.8,
201,HDFS_family_common,common,Dense RAG,blk_8052431154505374433,DeleteBlockNotFound,,,,0.2,
201,HDFS_family_rare,rare,SMA,blk_-8921807002945028613,RedundantAddStoredBlock,,,,1.0,
201,HDFS_family_rare,rare,BM25,blk_-8921807002945028613,RedundantAddStoredBlock,,,,0.2,
201,HDFS_family_rare,rare,Dense RAG,blk_-8921807002945028613,RedundantAddStoredBlock,,,,0.0,
201,HDFS_family_common,common,SMA,blk_8496732299192419808,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_8496732299192419808,DeleteBlockNotFound,,,,0.6,
201,HDFS_family_common,common,Dense RAG,blk_8496732299192419808,DeleteBlockNotFound,,,,0.4,
201,HDFS_family_common,common,SMA,blk_-6392386241829567129,other_anomaly,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-6392386241829567129,other_anomaly,,,,0.6,
201,HDFS_family_common,common,Dense RAG,blk_-6392386241829567129,other_anomaly,,,,0.2,
